Algorithm;Accuracy;Balanced Accuracy;Precision;Recall;Specificity;F1-score;False Alarm Rate;tn;fp;fn;tp;training_duration;evaluation_duration
AE;0.9824938774108887;0.9693120718002319;0.9904183149337769;0.9887114763259888;0.9499128460884094;0.9895626902580261;0.050087153911590576;16911.400390625;891.7999877929688;1052.199951171875;92191.203125;10.4817476272583;1.326094388961792
AE;0.9834214448928833;0.9698663949966431;0.9904294013977051;0.9898198843002319;0.9499127268791199;0.9901238679885864;0.05008722096681595;16911.400390625;891.7999877929688;949.2000122070312;92294.203125;10.19598388671875;1.4218504428863525
AE;0.9729915857315063;0.9637334942817688;0.9903426170349121;0.9773780107498169;0.9500889778137207;0.9836815595626831;0.0499110221862793;16914.599609375;888.5999755859375;2110.60009765625;91132.796875;10.615118980407715;1.5759925842285156
AE;0.9837851524353027;0.9700344204902649;0.9904128313064575;0.9902746081352234;0.9497942924499512;0.9903436899185181;0.05020575970411301;16909.400390625;893.7999877929688;906.7999877929688;92336.6015625;20.070270538330078;2.2669589519500732
AE;0.9817733764648438;0.9689381718635559;0.9904363751411438;0.9878318905830383;0.9500444531440735;0.9891314506530762;0.04995553940534592;16913.80078125;889.4000244140625;1134.5999755859375;92108.796875;12.8995943069458;1.6137664318084717
AE;0.9829062223434448;0.9695669412612915;0.9904277920722961;0.9892012476921082;0.9499327540397644;0.9898136854171753;0.0500672347843647;16911.80078125;891.4000244140625;1006.7999877929688;92236.6015625;10.798181533813477;1.3806644678115845
AE;0.9821462631225586;0.9692228436470032;0.990472137928009;0.988244354724884;0.950201153755188;0.9893555641174316;0.049798883497714996;16916.80078125;886.4000244140625;1096.199951171875;92147.203125;9.893939971923828;1.34700608253479
AE;0.9831260442733765;0.9697602987289429;0.9904603958129883;0.9894339442253113;0.950086772441864;0.9899457693099976;0.049913182854652405;16914.599609375;888.5999755859375;985.2000122070312;92258.203125;9.879183769226074;1.3029224872589111
AE;0.9836446642875671;0.969939112663269;0.9904049634933472;0.9901142120361328;0.94976407289505;0.9902592897415161;0.05023587495088577;16908.80078125;894.4000244140625;921.7999877929688;92321.6015625;10.388387680053711;1.374154806137085
AE;0.9833728075027466;0.9697912335395813;0.9904080629348755;0.9897838830947876;0.9497987627983093;0.9900956153869629;0.05020126700401306;16909.400390625;893.7999877929688;952.5999755859375;92290.796875;10.502889633178711;1.4269704818725586
