Algorithm;Accuracy;Balanced Accuracy;Precision;Recall;Specificity;F1-score;False Alarm Rate;tn;fp;fn;tp;training_duration;evaluation_duration
DT;0.9949623942375183;0.9968460202217102;0.9999265670776367;0.9940732717514038;0.999618649482727;0.9969913363456726;0.0003813838411588222;17796.400390625;6.800000190734863;552.5999755859375;92690.796875;0.16559787094593048;0.10728993266820908
DT;0.9949228167533875;0.9968175888061523;0.9999244809150696;0.9940282702445984;0.9996069669723511;0.996967613697052;0.0003930591919925064;17796.19921875;7.0;556.7999877929688;92686.6015625;0.1573045253753662;0.09035420417785645
DT;0.9948958158493042;0.9968198537826538;0.9999330639839172;0.9939875602722168;0.9996522665023804;0.9969514608383179;0.00034772654180414975;17797.0;6.199999809265137;560.5999755859375;92682.796875;0.1508340835571289;0.08821988105773926
DT;0.9949444532394409;0.9968667030334473;0.9999417066574097;0.994036853313446;0.9996965527534485;0.9969805479049683;0.00030349259031936526;17797.80078125;5.400000095367432;556.0;92687.3984375;0.1552363932132721;0.09559531509876251
DT;0.9948941469192505;0.9968050122261047;0.9999266862869263;0.9939918518066406;0.9996181726455688;0.9969504475593567;0.00038180910632945597;17796.400390625;6.800000190734863;560.2000122070312;92683.203125;0.16416044533252716;0.09042515605688095
DT;0.9949246644973755;0.9968277812004089;0.9999287724494934;0.9940261840820312;0.9996293187141418;0.9969687461853027;0.0003706743009388447;17796.599609375;6.599999904632568;557.0;92686.3984375;0.16107802093029022;0.08618464320898056
DT;0.9949426651000977;0.9968520402908325;0.9999353289604187;0.9940411448478699;0.9996628761291504;0.9969795346260071;0.0003371129569131881;17797.19921875;6.0;555.5999755859375;92687.796875;0.15393710136413574;0.09043197333812714
DT;0.9949193000793457;0.9968336820602417;0.999933123588562;0.9940153956413269;0.9996519088745117;0.9969655275344849;0.00034805788891389966;17797.0;6.199999809265137;558.0;92685.3984375;0.16273155808448792;0.08976640552282333
DT;0.9949138760566711;0.9968171119689941;0.9999265670776367;0.9940153360366821;0.9996187090873718;0.9969622492790222;0.00038124347338452935;17796.400390625;6.800000190734863;558.0;92685.3984375;0.16196879744529724;0.08891749382019043
DT;0.9948741793632507;0.9967886805534363;0.9999244809150696;0.9939702749252319;0.9996069669723511;0.9969384074211121;0.00039296605973504484;17796.19921875;7.0;562.2000122070312;92681.203125;0.16449451446533203;0.09334082901477814
