Algorithm;Accuracy;Balanced Accuracy;Precision;Recall;Specificity;F1-score;False Alarm Rate;tn;fp;fn;tp;training_duration;evaluation_duration
MLP;0.9918664693832397;0.9945248365402222;0.9996991157531738;0.9906114339828491;0.9984382390975952;0.9951345324516296;0.001561748911626637;17775.400390625;27.799999237060547;875.4000244140625;92368.0;68.78651428222656;0.25795993208885193
MLP;0.9920393824577332;0.9945371747016907;0.9996560215950012;0.9908602833747864;0.9982141256332397;0.9952386021614075;0.0017858654027804732;17771.400390625;31.799999237060547;852.2000122070312;92391.203125;68.4437484741211;0.2121536284685135
MLP;0.9917566180229187;0.9944812655448914;0.999709963798523;0.990469753742218;0.9984927177429199;0.9950682520866394;0.001507260138168931;17776.400390625;26.799999237060547;888.5999755859375;92354.796875;56.6346321105957;0.1424572914838791
MLP;0.9917260408401489;0.9943965673446655;0.9996774792671204;0.9904661178588867;0.9983269572257996;0.9950504302978516;0.0016730688512325287;17773.400390625;29.799999237060547;889.0;92354.3984375;57.14036178588867;0.14925694465637207
MLP;0.9915746450424194;0.9944060444831848;0.9997249841690063;0.9902384877204895;0.9985736012458801;0.9949590563774109;0.0014263632474467158;17777.80078125;25.399999618530273;910.2000122070312;92333.203125;50.2191162109375;0.15103359520435333
MLP;0.9917637705802917;0.994473934173584;0.9997034072875977;0.9904854893684387;0.9984624981880188;0.9950730204582214;0.0015375448856502771;17775.80078125;27.399999618530273;887.2000122070312;92356.203125;64.91104125976562;0.14983335137367249
MLP;0.9917764663696289;0.9944445490837097;0.999686062335968;0.9905170202255249;0.9983720779418945;0.9950803518295288;0.001627875491976738;17774.19921875;29.0;884.2000122070312;92359.203125;58.27098846435547;0.14463214576244354
MLP;0.9919493794441223;0.9944605827331543;0.9996451139450073;0.9907640218734741;0.9981571435928345;0.9951847195625305;0.001842851983383298;17770.400390625;32.79999923706055;861.2000122070312;92382.203125;49.56999588012695;0.1460321843624115
MLP;0.991817831993103;0.9944051504135132;0.9996558427810669;0.9905965924263;0.9982136487960815;0.9951055645942688;0.0017863077810034156;17771.400390625;31.799999237060547;876.7999877929688;92366.6015625;50.72355651855469;0.15245413780212402
MLP;0.9918521046638489;0.9944757223129272;0.999679684638977;0.9906140565872192;0.99833744764328;0.9951261281967163;0.0016625489806756377;17773.599609375;29.600000381469727;875.2000122070312;92368.203125;73.1068344116211;0.264191210269928
