Algorithm;Accuracy;Balanced Accuracy;Precision;Recall;Specificity;F1-score;False Alarm Rate;tn;fp;fn;tp;training_duration;evaluation_duration
AE;0.9832700490951538;0.9698866605758667;0.990480899810791;0.9895864725112915;0.9501869082450867;0.9900326728820801;0.049813076853752136;16916.400390625;886.7999877929688;971.0;92272.3984375;10.86302661895752;1.4308675527572632
AE;0.9836428761482239;0.9700655937194824;0.9904638528823853;0.9900516271591187;0.9500795602798462;0.9902574419975281;0.04992051050066948;16914.400390625;888.7999877929688;927.5999755859375;92315.796875;11.031323432922363;1.341935157775879
AE;0.9816851615905762;0.9688152074813843;0.9904043078422546;0.9877583384513855;0.9498721361160278;0.98907870054245;0.05012788623571396;16910.80078125;892.4000244140625;1141.4000244140625;92102.0;10.211519241333008;1.324314832687378
AE;0.9829297065734863;0.9696162343025208;0.9904449582099915;0.9892132878303528;0.9500190615653992;0.9898277521133423;0.049980927258729935;16913.400390625;889.7999877929688;1005.7999877929688;92237.6015625;10.469568252563477;1.3476834297180176
AE;0.9824866056442261;0.9693149328231812;0.9904232025146484;0.9887046813964844;0.949925422668457;0.9895614385604858;0.05007459595799446;16911.80078125;891.4000244140625;1053.4000244140625;92190.0;10.77111530303955;1.4022490978240967
AE;0.9835672378540039;0.9700011014938354;0.9904546737670898;0.9899705052375793;0.9500317573547363;0.9902119636535645;0.04996822401881218;16913.599609375;889.5999755859375;935.2000122070312;92308.203125;10.816902160644531;1.431598424911499
AE;0.9816545248031616;0.9689135551452637;0.9904581308364868;0.9876678586006165;0.9501593708992004;0.989059329032898;0.04984063655138016;16916.0;887.2000122070312;1150.0;92093.3984375;13.489791870117188;1.67585027217865
AE;0.9791799783706665;0.967452883720398;0.9904338121414185;0.984721302986145;0.9501845240592957;0.9875542521476746;0.049815498292446136;16916.400390625;886.7999877929688;1425.199951171875;91818.203125;12.011001586914062;1.5813701152801514
AE;0.9783586263656616;0.9671304821968079;0.9905024766921997;0.98365318775177;0.9506077766418457;0.9870433807373047;0.0493922121822834;16923.80078125;879.4000244140625;1523.800048828125;91719.6015625;12.337530136108398;1.5986030101776123
AE;0.9827766418457031;0.969512939453125;0.9904395341873169;0.9890329241752625;0.9499929547309875;0.9897345304489136;0.05000705644488335;16913.0;890.2000122070312;1022.4000244140625;92221.0;12.866747856140137;1.6677099466323853
