Algorithm;Accuracy;Balanced Accuracy;Precision;Recall;Specificity;F1-score;False Alarm Rate;tn;fp;fn;tp;training_duration;evaluation_duration
GRU;0.9937413334846497;0.9890424013137817;0.9965852499008179;0.9959589838981628;0.9821256399154663;0.9962719678878784;0.017874302342534065;17484.80078125;318.20001220703125;376.79998779296875;92865.796875;585.6246948242188;2.8113112449645996
GRU;0.9934135675430298;0.9892290830612183;0.9967632293701172;0.9953886270523071;0.9830697774887085;0.9960752725601196;0.016930226236581802;17501.599609375;301.3999938964844;430.0;92812.6015625;583.1409912109375;2.7608819007873535
GRU;0.9933594465255737;0.9889663457870483;0.9966524839401245;0.9954365491867065;0.9824960827827454;0.9960432052612305;0.017503950744867325;17491.19921875;311.79998779296875;425.6000061035156;92817.0;589.28515625;2.794613838195801
GRU;0.993669331073761;0.9889930486679077;0.9965806007385254;0.9958776235580444;0.982108473777771;0.9962289929389954;0.01789151504635811;17484.400390625;318.6000061035156;384.3999938964844;92858.203125;595.1485595703125;2.75118088722229
GRU;0.993386447429657;0.9892646074295044;0.9967864751815796;0.9953330755233765;0.9831961393356323;0.9960589408874512;0.016803795471787453;17503.80078125;299.20001220703125;435.20001220703125;92807.3984375;561.0667114257812;2.6736648082733154
GRU;0.9936422109603882;0.989261269569397;0.9967149496078491;0.9957100749015808;0.9828122854232788;0.9962123036384583;0.017187679186463356;17497.0;306.0;400.0;92842.6015625;567.0104370117188;2.72448468208313
GRU;0.993490993976593;0.9888916015625;0.9965821504592896;0.9956631660461426;0.9821200370788574;0.9961222410202026;0.01787993684411049;17484.599609375;318.3999938964844;404.3999938964844;92838.203125;593.248046875;2.768949031829834
GRU;0.9934026598930359;0.9893781542778015;0.9968355894088745;0.9953025579452515;0.9834537506103516;0.9960683584213257;0.01654621586203575;17508.400390625;294.6000061035156;438.0;92804.6015625;559.894287109375;2.682644844055176
GRU;0.9934819340705872;0.9892303347587585;0.9967441558837891;0.995489239692688;0.9829714894294739;0.9961161613464355;0.017028547823429108;17499.80078125;303.20001220703125;420.6000061035156;92822.0;515.839599609375;2.5980656147003174
GRU;0.993431568145752;0.9890421628952026;0.9966692924499512;0.9955044984817505;0.9825798273086548;0.9960864186286926;0.017420189455151558;17492.80078125;310.20001220703125;419.20001220703125;92823.3984375;572.9180908203125;2.6996352672576904
