Algorithm;Accuracy;Balanced Accuracy;Precision;Recall;Specificity;F1-score;False Alarm Rate;tn;fp;fn;tp;training_duration;evaluation_duration
DT;0.9948219656718837;0.9967147540357768;0.9999030475390234;0.9939391343456193;0.9994903737259343;0.9969121714147625;0.0005096262740656852;17651;9;566;92820;0.4579739570617676;0.08758211135864258
DT;0.9948579867802533;0.9967786199711408;0.9999244598882007;0.9939499908820785;0.9996072490602032;0.9969282744003142;0.00039275093979689165;17816;7;564;92659;0.44696640968322754;0.08666872978210449
DT;0.9951371503701169;0.9969888678509722;0.9999460229726228;0.9942573152143578;0.9997204204875867;0.9970935552278329;0.00027957951241333037;17879;5;535;92627;0.48732876777648926;0.08925366401672363
DT;0.9953352664661491;0.9970859347040701;0.9999352995093546;0.9945088534014007;0.9996630160067397;0.9972146943691659;0.00033698399326032014;17799;6;512;92729;0.507765531539917;0.08917069435119629
DT;0.9948129603947914;0.9967064406987054;0.9999028769991151;0.9939178752252639;0.9994950061721468;0.9969013932971112;0.0005049938278532151;17813;9;567;92657;0.5246212482452393;0.09740328788757324
DT;0.9952722295265025;0.9968679730144798;0.9998493554565606;0.9945307232075007;0.999205222821459;0.997182947441848;0.0007947771785410162;17601;14;511;92920;0.856320858001709;0.09695172309875488
DT;0.9949030131657151;0.9967139278795836;0.9998812454117545;0.9940432748035891;0.9993845809555779;0.9969537136706136;0.0006154190444220656;17863;11;555;92617;0.5145905017852783;0.09016895294189453
DT;0.995092123984655;0.9967811396465716;0.9998596521532599;0.9942885362763834;0.9992737430167598;0.9970663121120938;0.0007262569832402235;17887;13;532;92614;0.49882960319519043;0.08303427696228027
DT;0.9948669920573456;0.9968332365341792;0.999946132879413;0.9939495186386952;0.9997169544296631;0.9969388083908873;0.0002830455703368242;17660;5;565;92816;0.4861893653869629;0.08521366119384766
DT;0.9949030131657151;0.9967381278977046;0.9998921530563823;0.9940388120510346;0.9994374437443745;0.9969568910825081;0.0005625562556255626;17766;10;556;92714;0.45498061180114746;0.0797429084777832
