Algorithm;Accuracy;Balanced Accuracy;Precision;Recall;Specificity;F1-score;False Alarm Rate;tn;fp;fn;tp;training_duration;evaluation_duration
2DCNN;0.9907858967781067;0.9919808506965637;0.998795211315155;0.9902213215827942;0.993740439414978;0.9944896697998047;0.006259550340473652;17691.80078125;111.4000015258789;911.7999877929688;92331.6015625;101.7540054321289;2.834566593170166
2DCNN;0.9908830523490906;0.9921167492866516;0.9988372921943665;0.9902965426445007;0.9939368963241577;0.9945484399795532;0.0060630966909229755;17695.599609375;107.5999984741211;904.7999877929688;92338.6015625;92.1154556274414;1.8629411458969116
2DCNN;0.9908651113510132;0.9918280839920044;0.998702883720398;0.9904079437255859;0.9932481646537781;0.9945380091667175;0.006751826498657465;17683.19921875;120.0;894.4000244140625;92349.0;97.01229858398438;1.986270546913147
2DCNN;0.9903230667114258;0.9909664392471313;0.9984458684921265;0.9900175333023071;0.9919154047966003;0.9942137002944946;0.008084623143076897;17659.400390625;143.8000030517578;930.7999877929688;92312.6015625;94.15193176269531;1.8760417699813843
2DCNN;0.9905120730400085;0.9906541705131531;0.9982428550720215;0.9904443621635437;0.990864098072052;0.9943282008171082;0.009135963395237923;17640.599609375;162.60000610351562;891.0;92352.3984375;96.81983947753906;1.884551763534546
2DCNN;0.9903013110160828;0.9914344549179077;0.9986720085144043;0.9897662997245789;0.9931026697158813;0.9941986799240112;0.006897325627505779;17680.400390625;122.80000305175781;954.2000122070312;92289.203125;98.80180358886719;2.0302300453186035
2DCNN;0.9910991787910461;0.9924774169921875;0.998942494392395;0.9904486536979675;0.9945063591003418;0.9946772456169128;0.005493681877851486;17705.400390625;97.80000305175781;890.5999755859375;92352.796875;101.9864273071289;2.005214214324951
2DCNN;0.990771472454071;0.9917116165161133;0.9986697435379028;0.9903287887573242;0.9930944442749023;0.9944816827774048;0.006905572954565287;17680.19921875;123.0;901.7999877929688;92341.6015625;116.2701187133789;2.2190139293670654
2DCNN;0.9907119870185852;0.9914399981498718;0.9985580444335938;0.990369439125061;0.9925106167793274;0.9944466352462769;0.007489365991204977;17669.80078125;133.39999389648438;898.0;92345.3984375;105.2054672241211;2.014873504638672
2DCNN;0.9909461140632629;0.9919416308403015;0.9987330436706543;0.9904738664627075;0.9934093356132507;0.994586169719696;0.006590682081878185;17686.0;117.19999694824219;888.2000122070312;92355.203125;103.82109069824219;2.0905280113220215
