Algorithm;Accuracy;Balanced Accuracy;Precision;Recall;Specificity;F1-score;False Alarm Rate;tn;fp;fn;tp;training_duration;evaluation_duration
Bayes;0.9818075895309448;0.9664217233657837;0.989262580871582;0.9890695810317993;0.9437737464904785;0.9891659617424011;0.0562262162566185;16802.19921875;1001.0;1019.2000122070312;92224.203125;0.07143382728099823;0.10871648788452148
Bayes;0.9818112254142761;0.9664222002029419;0.9892628788948059;0.9890737533569336;0.9437705278396606;0.9891682863235474;0.056229423731565475;16802.19921875;1001.0;1018.7999877929688;92224.6015625;0.06932167708873749;0.10770215839147568
Bayes;0.9818077087402344;0.9664247632026672;0.9892624020576477;0.9890694618225098;0.9437799453735352;0.9891657829284668;0.056220054626464844;16802.19921875;1001.0;1019.2000122070312;92224.203125;0.0698823481798172;0.10801629722118378
Bayes;0.9818077087402344;0.9664219617843628;0.9892627000808716;0.9890694618225098;0.943774402141571;0.9891659617424011;0.056225549429655075;16802.19921875;1001.0;1019.2000122070312;92224.203125;0.07064542919397354;0.1268506944179535
Bayes;0.9818075895309448;0.9664222598075867;0.9892627000808716;0.9890694618225098;0.9437749981880188;0.9891660809516907;0.0562250092625618;16802.19921875;1001.0;1019.2000122070312;92224.203125;0.07044295966625214;0.11713103950023651
Bayes;0.9818075895309448;0.9664230346679688;0.9892624616622925;0.9890695810317993;0.9437766075134277;0.9891659617424011;0.05622347071766853;16802.19921875;1001.0;1019.2000122070312;92224.203125;0.07046981155872345;0.11171746253967285
Bayes;0.9818075895309448;0.9664222598075867;0.9892624020576477;0.9890693426132202;0.9437753558158875;0.9891659021377563;0.05622466281056404;16802.19921875;1001.0;1019.2000122070312;92224.203125;0.06821532547473907;0.10962462425231934
Bayes;0.9818075895309448;0.9664217233657837;0.9892627000808716;0.9890693426132202;0.9437739253044128;0.9891659617424011;0.056226037442684174;16802.19921875;1001.0;1019.2000122070312;92224.203125;0.06928262859582901;0.10398726165294647
Bayes;0.9818058013916016;0.9664205312728882;0.9892624616622925;0.9890672564506531;0.9437737464904785;0.9891648292541504;0.056226205080747604;16802.19921875;1001.0;1019.4000244140625;92224.0;0.06836690753698349;0.10870566219091415
Bayes;0.9818075895309448;0.966421902179718;0.989262580871582;0.9890694618225098;0.943774402141571;0.9891659617424011;0.056225668638944626;16802.19921875;1001.0;1019.2000122070312;92224.203125;0.07340025901794434;0.1224786788225174
