Algorithm;Accuracy;Balanced Accuracy;Precision;Recall;Specificity;F1-score;False Alarm Rate;tn;fp;fn;tp;training_duration;evaluation_duration
KNN;0.9921385049819946;0.9944146275520325;0.9995695352554321;0.9910638928413391;0.9977652430534363;0.9952985048294067;0.0022347583435475826;17763.400390625;39.79999923706055;833.2000122070312;92410.203125;0.21674665808677673;9.834257125854492
KNN;0.9921744465827942;0.9944990873336792;0.999599814414978;0.9910770654678345;0.9979211688041687;0.9953201413154602;0.0020787962712347507;17766.19921875;37.0;832.0;92411.3984375;0.2086409628391266;9.635743141174316
KNN;0.9921402931213379;0.9944199323654175;0.9995716214179993;0.991064190864563;0.997775673866272;0.9952996373176575;0.002224310301244259;17763.599609375;39.599998474121094;833.2000122070312;92410.203125;0.2077256143093109;9.326642036437988
KNN;0.9922194480895996;0.9944900274276733;0.9995824694633484;0.9911481142044067;0.9978319406509399;0.9953473806381226;0.0021680444478988647;17764.599609375;38.599998474121094;825.4000244140625;92418.0;0.21127119660377502;9.507452964782715
KNN;0.9920898675918579;0.9942989349365234;0.9995284080505371;0.9910469055175781;0.9975509643554688;0.9952695965766907;0.002449013525620103;17759.599609375;43.599998474121094;834.7999877929688;92408.6015625;0.21409693360328674;9.362147331237793
KNN;0.9921456575393677;0.9943819046020508;0.9995522499084473;0.9910899996757507;0.9976738691329956;0.9953031539916992;0.0023261592723429203;17761.80078125;41.400001525878906;830.7999877929688;92412.6015625;0.21628499031066895;9.525964736938477
KNN;0.9921582341194153;0.994390606880188;0.9995522499084473;0.9911050796508789;0.9976761937141418;0.9953106045722961;0.0023238572757691145;17761.80078125;41.400001525878906;829.4000244140625;92414.0;0.21635350584983826;9.342477798461914
KNN;0.9921672940254211;0.9945220947265625;0.9996126890182495;0.9910557866096497;0.9979884028434753;0.9953159093856812;0.002011560369282961;17767.400390625;35.79999923706055;834.0;92409.3984375;0.20467528700828552;9.185833930969238
KNN;0.9921077489852905;0.9943631291389465;0.999554455280304;0.9910424947738647;0.9976838231086731;0.9952802658081055;0.0023161841090768576;17762.0;41.20000076293945;835.2000122070312;92408.203125;0.20498529076576233;9.137884140014648
KNN;0.9921528100967407;0.994437038898468;0.9995759129524231;0.9910751581192017;0.9977989196777344;0.9953073263168335;0.0022011385299265385;17764.0;39.20000076293945;832.2000122070312;92411.203125;0.20213107764720917;9.123502731323242
