Algorithm;Accuracy;Balanced Accuracy;Precision;Recall;Specificity;F1-score;False Alarm Rate;tn;fp;fn;tp;training_duration;evaluation_duration
MLP;0.9921600222587585;0.9944354295730591;0.9995738863945007;0.9910861849784851;0.9977847337722778;0.9953119158744812;0.002215322107076645;17763.80078125;39.400001525878906;831.2000122070312;92412.203125;138.91517639160156;0.28730422258377075
MLP;0.9920700192451477;0.993992805480957;0.9993879199028015;0.991162896156311;0.996822714805603;0.9952583312988281;0.003177269594743848;17746.599609375;56.599998474121094;824.0;92419.3984375;93.99947357177734;0.2947391867637634
MLP;0.9920915365219116;0.9942143559455872;0.9994872808456421;0.991089940071106;0.9973388910293579;0.9952709078788757;0.002661126898601651;17755.80078125;47.400001525878906;830.7999877929688;92412.6015625;112.1100082397461;0.3029157519340515
MLP;0.992080807685852;0.9943801760673523;0.9995695352554321;0.9909957647323608;0.9977645874023438;0.9952641725540161;0.0022354465909302235;17763.400390625;39.79999923706055;839.5999755859375;92403.796875;123.35905456542969;0.2958781123161316
MLP;0.9920717477798462;0.9941919445991516;0.9994829893112183;0.9910703897476196;0.9973134994506836;0.9952589273452759;0.0026864572428166866;17755.400390625;47.79999923706055;832.5999755859375;92410.796875;126.50235748291016;0.28990834951400757
MLP;0.9921221733093262;0.994259238243103;0.9995003938674927;0.991113543510437;0.9974050521850586;0.9952892065048218;0.002594991819933057;17757.0;46.20000076293945;828.5999755859375;92414.796875;108.1140365600586;0.2092025727033615
MLP;0.9921096563339233;0.9942022562026978;0.9994765520095825;0.9911222457885742;0.9972823262214661;0.9952818155288696;0.002717695664614439;17754.80078125;48.400001525878906;827.7999877929688;92415.6015625;84.11763000488281;0.16131682693958282
MLP;0.992071807384491;0.9941797256469727;0.9994765520095825;0.9910771250724792;0.9972823262214661;0.9952591061592102;0.002717680064961314;17754.80078125;48.400001525878906;832.0;92411.3984375;65.27033996582031;0.1622343510389328
MLP;0.9920880198478699;0.9941852688789368;0.9994743466377258;0.9910984039306641;0.9972723126411438;0.995268702507019;0.002727729035541415;17754.599609375;48.599998474121094;830.0;92413.3984375;68.26152801513672;0.14446672797203064
MLP;0.9920862317085266;0.9940946698188782;0.9994310140609741;0.9911397099494934;0.9970496892929077;0.9952680468559265;0.002950259717181325;17750.599609375;52.599998474121094;826.2000122070312;92417.203125;76.3416748046875;0.13663049042224884
